rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/spider_man_homecoming,Rob Hunter,FALSE,Film School Rejects,Fresh,,6/29/2017,The new Spider-Man's solo Marvel debut is a near-perfect mash-up of superhero movie and teen comedy.
m/spider_man_homecoming,Nick De Semlyen,FALSE,Empire Magazine,Fresh,5-Apr,6/29/2017,"The characters and scenarios are familiar, but this is a loose, cool, funny remix that makes them feel fresh again. Plus, it's mercifully short on life lessons from Aunt May."
m/spider_man_homecoming,Stefan Pape,FALSE,HeyUGuys,Fresh,5-Apr,6/29/2017,"Spidey is finally able to bounce off other familiar faces, and the results are nothing short of a triumph."
m/spider_man_homecoming,Jonathan L. Fischer,TRUE,Slate,Fresh,,6/29/2017,Spider-Man: Homecoming is both a homecoming for the character as well as a movie in which Spider-Man literally goes to homecoming-a fitting re-introduction and an endearingly goofy teen flick.
m/spider_man_homecoming,Alan Scherstuhl,TRUE,Village Voice,Fresh,,6/29/2017,The first Spidey flick as ebullient as the comics you read when you were a kid.
m/spider_man_homecoming,Julian Roman,FALSE,MovieWeb,Fresh,5-Apr,6/29/2017,"Spider-Man: Homecoming is a funny, heartfelt, coming of age story that defly captures the awkwardness of being a teenager."
m/spider_man_homecoming,Jordan Hoffman,FALSE,Popular Mechanics,Fresh,,6/29/2017,"Peter Parker aka Spider-Man aka the wise-crackin', science-tinkerin', shy-around-girls neighborhood crime-fighter is back. Not just back-home."
m/spider_man_homecoming,David Poland,FALSE,Movie City News,Fresh,,6/29/2017,"Sony, who had something to gain from allowing Spider-Man to be part of the MCU Universe, just allowed Marvel to make their superstar into a supporting player."
m/spider_man_homecoming,Bill Goodykoontz,TRUE,Arizona Republic,Fresh,5-Apr,6/29/2017,"What's particularly nice about this movie is what it doesn't have: too many bad guys, an overly complicated plot and a bunch of ridiculous fight scenes that are so needlessly complex you can't tell what's happening in them."
m/spider_man_homecoming,William Bibbiani,FALSE,CraveOnline,Fresh,,6/29/2017,"A spry, lovable Spider-Man movie about a spry, lovable Spider-Man."
m/spider_man_homecoming,Tasha Robinson,FALSE,The Verge,Fresh,,6/29/2017,"Every time Peter has to choose whether to do his self-appointed job or seize one irreplaceable personal moment with Liz, the strain shows on his face. Civil War made his conflicts big, funny, and thrilling. Homecoming makes them personal."
m/spider_man_homecoming,Scott Menzel,FALSE,We Live Entertainment,Rotten,10-Apr,6/29/2017,Spider-Man: Homecoming is better than Spider-Man 3 but not by much.
m/spider_man_homecoming,Joe Gross,FALSE,Austin American-Statesman,Fresh,,6/29/2017,"Holland is incredibly charming, and embodies Spidey's traditional fondness for wisecracks while not seeming smug. The jokes fly fast, but everything hangs together tonally."
m/spider_man_homecoming,Bernard Boo,FALSE,PopMatters,Fresh,10-Aug,6/29/2017,"It's pure exhilaration to watch this new, pitch-perfect version of the iconic hero swing high above the New York City streets, and if the movie's forthcoming sequels are as fun as this, Marvel Studios can keep 'em coming."
m/spider_man_homecoming,Frank Lovece,FALSE,Film Journal International,Fresh,,6/29/2017,Jon Watts' Spider-Man: Homecoming may be the most sheer fun audiences have ever had with the character.
m/spider_man_homecoming,Richard Lawson,FALSE,Vanity Fair,Fresh,,6/29/2017,Homecoming's sweet-natured hero and its ragtag group of cheery kids project a radiant optimism.
m/spider_man_homecoming,Dustin Putman,FALSE,TheFilmFile.com,Rotten,4-Feb,6/29/2017,"By far the most lightweight and thematically inconsequential of any and all past ""Spider-Man"" features."
m/spider_man_homecoming,Scott Mendelson,FALSE,Forbes,Rotten,10-May,6/29/2017,"This is a de-facto origin story, one that makes us wait for the sequel for a Spider-Man who isn't a menace to society."
m/spider_man_homecoming,Peter Canavese,FALSE,Groucho Reviews,Fresh,4-Mar,6/29/2017,"An action-packed, beat-the-heat distraction...Lands close enough to the summer-movie sweet spot that the quibbles feel a bit churlish."
m/spider_man_homecoming,Kyle Anderson,FALSE,Nerdist,Fresh,5-Apr,6/29/2017,Spider-Man: Homecoming is a soaring superhero adventure and is easily the best Spider-Man movie of them all.
m/spider_man_homecoming,Leah Greenblatt,TRUE,Entertainment Weekly,Fresh,B+,6/29/2017,That the movie comes off as loose and sweet and light on its feet as it does feels like sort of minor Marvel miracle.
m/spider_man_homecoming,Germain Lussier,FALSE,io9.com,Fresh,,6/29/2017,Spider-Man: Homecoming is not your typical Marvel movie -- and that's exactly what makes it great.
m/spider_man_homecoming,Brian Orndorf,FALSE,Blu-ray.com,Fresh,A,6/29/2017,It's the best homecoming imaginable.
m/spider_man_homecoming,Sandy Schaefer,FALSE,Screen Rant,Fresh,5-Apr,6/29/2017,Spider-Man: Homecoming works as both a (very) funny high school comedy/drama and strong standalone superhero movie set in the MCU.
